komentar,platform,clean,sentimen
Kan Mereka Kan Udah Pindah Ke Rumah Susun Di Bekasi Kan Rumah Yang Pertama Dulu Di Bandung Jawa Barat Kan Berarti Sih Ian Roadtrip Dong Dari Bandung Ke Bekasi Ke Rumah Susun Pantes Ada Sih Ian😅😅😅,youtube,udah pindah rumah susun bekas rumah bandung jawa barat sih ian roadtrip bandung bekas rumah susun pantes sih ian,netral
"Adegan penutupnya mirip The Shinning, persis bgt, Joko Anwar blg ga ya klo dia inspired by atau gmn, mestinya sekelas dia jgn copy adegan film luar sih yg persis ketiplek gtu, film ini original lho, dan adegan trakhir ga relevan sama filmnya, jgn copy cat gtu sih plis, ga bgt",youtube,adegan tutup the shinning persis bgt joko anwar blg ga ya klo inspired by gmn mesti kelas jgn copy adegan film sih yg persis ketiplek gtu film original lho adegan trakhir ga relevan film jgn copy cat gtu sih plis ga bgt,netral
Bikin Lagi Geh Konten Pengabdi Setan 2 Yang Part 2 Geh Bikin Lagi Geh,youtube,bikin geh konten abdi setan part geh bikin geh,netral
Melihat trailer nya kok saya tdk tertarik untuk menonton ya padahal  saya suka nonton,youtube,trailer nya tdk tarik tonton ya suka nonton,positif
"Research pengabdi setan 1980 versi S.G Putra, baru Nemu easter egg disini yang memaksa saya berteori, hahaha. Di film tersebut ada scene pak Munarto (ayah) bergerak di bidang proyek property menjalin kesepakatan dengan dua pria bule dimana salah satu dari mereka menawarkan jasa pengasuh untuk ditempatkan di rumah beliau. And what, yang datang adalah Bu Darminah, kita semua tahu siapa Darminah di film versi pak Joko Anwar. Usaha property Pak Munarto yang mendukung program pemerintah? Rusun di Utara dari pemerintah? Deal dengan para bule? Pengasuh yang datang Bu Darminah?Apakah ini kebetulan? Saya rasa tidak.",youtube,research abdi setan versi sg putra nemu easter egg paksa teori hahaha film scene munarto ayah gerak bidang proyek property jalin sepakat pria bule mana salah tawar jasa asuh tempat rumah beliau and what bu darminah darminah film versi joko anwar usaha property munarto dukung program perintah rusun utara perintah deal bule asuh bu darminahapakah,netral
🥥RM50.JUTA,youtube,rmjuta,netral
Bapak jokoii😭😭😭,youtube,jokoii,netral
"Bapakk,😭😭😭😭👈👈👈",youtube,bapakk,netral
Yang itu mirip haikal di pesantren kun anta,youtube,haikal pesantren kun anta,netral
India,youtube,india,netral
