komentar,platform
Kan Mereka Kan Udah Pindah Ke Rumah Susun Di Bekasi Kan Rumah Yang Pertama Dulu Di Bandung Jawa Barat Kan Berarti Sih Ian Roadtrip Dong Dari Bandung Ke Bekasi Ke Rumah Susun Pantes Ada Sih Ian😅😅😅,youtube
"Adegan penutupnya mirip The Shinning, persis bgt, Joko Anwar blg ga ya klo dia inspired by atau gmn, mestinya sekelas dia jgn copy adegan film luar sih yg persis ketiplek gtu, film ini original lho, dan adegan trakhir ga relevan sama filmnya, jgn copy cat gtu sih plis, ga bgt",youtube
Bikin Lagi Geh Konten Pengabdi Setan 2 Yang Part 2 Geh Bikin Lagi Geh,youtube
Melihat trailer nya kok saya tdk tertarik untuk menonton ya padahal  saya suka nonton,youtube
"Research pengabdi setan 1980 versi S.G Putra, baru Nemu easter egg disini yang memaksa saya berteori, hahaha. Di film tersebut ada scene pak Munarto (ayah) bergerak di bidang proyek property menjalin kesepakatan dengan dua pria bule dimana salah satu dari mereka menawarkan jasa pengasuh untuk ditempatkan di rumah beliau. And what, yang datang adalah Bu Darminah, kita semua tahu siapa Darminah di film versi pak Joko Anwar. Usaha property Pak Munarto yang mendukung program pemerintah? Rusun di Utara dari pemerintah? Deal dengan para bule? Pengasuh yang datang Bu Darminah?Apakah ini kebetulan? Saya rasa tidak.",youtube
🥥RM50.JUTA,youtube
Bapak jokoii😭😭😭,youtube
"Bapakk,😭😭😭😭👈👈👈",youtube
Yang itu mirip haikal di pesantren kun anta,youtube
India,youtube
Masihkalahseramsamapengabdisetanyanglama,youtube
PS : O 2027 👀,youtube
Saya suka cerita seram🫣🫣🫣🫣🫣,youtube
NONTON Film kantong KRESEKKKK HITAMMM.  Gak ada gambar,youtube
FILM TUH BIKINNYA BISA GAK. LEBIHHH GELAPPP LAGI.  BIAR PENONTON YG NONTON KAYAK NINTONG KANTONG KRESEKKKK HITAMMM CUMA BERSUARA DOANGGG.... GELAPPPPPO BANGETTTTTT,youtube
"Filmnya main gelap2an mulu ga jelas,bagus ps 1",youtube
Saya ingin menonton flim ini lagi tapi kok tidak ada ya😢😢😢,youtube
PS 3 Origin 2027 coming soon 😂,youtube
4000,youtube
"Saya suka film horror.. Namun secara awam saya kurang Suka film horror yg secara keseluruhan tampilan warna screenNya cenderung Kuning kecoklatan gtu, yah..mungkin itu cuma menurut saya bhwa tampilan warna tersebut bisa membuat tampilan gambar bhkn alur cerita jadi kurang nyata, (meski menurut editingnya tampilan screen tersebut ahar terlihat jadi makin horror)  menurut saya mending pake warna screen yg biasa aja layaknya film biasa bukan horror.",youtube
Ratu Felicia skrg awet muda ihh ❤,youtube
Bagus film pengabdi setan 2 aku belum nonton film,youtube
"bikin sakit mata nontonya,hidup mati lampunya...wkwkkw",youtube
Gg,youtube
Nanti ada kelanjutannya nih,youtube
Salah satu Film horor yg kualitasnya ga main2. Horror serem nya dapeett dan pstinya hantunya gak alay😂,youtube
"Salah satu film horror indo yg membekas bgt di ingatan..emg sebagus itu, jjur aku jrang bgtt suka sama horror indo krna menurut ku sama smua template. Tpi pengabdi setan 2 ini bnr2 keren bgtt ,serem nya ga alay gituloh ,sama kualitasnya gausa di tanya👏🏻😔",youtube
👻👻 21 agustus 2025 baru nontn,youtube
❤❤,youtube
Pliss bikinin aku film pengabdi setan 3🎉🎉🎉❤❤❤,youtube
Ih serem banget,youtube
"Aneh ,
Cahaya lampune gelap bnget ,
Wkwkw lucu,",youtube
"TEROR IBU SEPANJANG MASA!

Beberapa tahun setelah berhasil menyelamatkan diri dari kejadian mengerikan yang membuat mereka kehilangan ibu dan si bungsu Ian, Rini dan adik-adiknya, Toni dan Bondi, serta Bapak tinggal di rumah susun.

Mereka percaya tinggal di rumah susun aman, karena ada banyak orang jika terjadi sesuatu. 

Namun, mereka segera menyadari bahwa tinggal bersama banyak orang mungkin juga sangat berbahaya, jika mereka tidak sangat mengenali siapa saja yang menjadi tetangga mereka. 

Pada sebuah malam penuh teror, Rini dan Keluarganya harus kembali menyelamatkan diri",youtube
"Film PALING GA JELAS, MODAL GELAP DOANG!!
RATING -8/100",youtube
Gw kira durasinya 1jam jirr😂,youtube
Znznznzznbzyaoaiayalaz NNaanznznznznznnsnsnshsshshapaaoihsnznznznznznznznznnznznznzznnznznzbzhssnznznzzzl,youtube
Tidak takut,youtube
"Di tunggu Pengabdi Setan 3
I'm  always waiting.",youtube
🫣🫣🫣🫣🫣🫣🫣🫣🫣🫣,youtube
Kagen hamil Ari Ari ❤,youtube
1:36,youtube
"Film ""Pengabdi Setan 2: Communion"" adalah sekuel dari film horor Indonesia yang sangat sukses, ""Pengabdi Setan"" (2017). Disutradarai oleh Joko Anwar, film ini melanjutkan kisah keluarga Rini setelah kejadian mengerikan di film pertama. Berikut beberapa poin penting mengenai ""Pengabdi Setan 2: Communion"":
 * Sinopsis Singkat:
   * Setelah kehilangan ibu dan adik mereka, keluarga Rini pindah ke rumah susun di pinggiran Jakarta. Mereka berharap dapat memulai hidup baru, tetapi ternyata rumah susun tersebut menyimpan rahasia mengerikan.
   * Teror dan kejadian aneh mulai menghantui mereka, dan mereka harus berjuang untuk bertahan hidup dari kekuatan jahat yang lebih kuat dari sebelumnya.
 * Pemeran Utama:
   * Tara Basro sebagai Rini
   * Endy Arfian sebagai Toni
   * Nasar Anuz sebagai Bondi
   * Bront Palarae sebagai Bapak
   * Ratu Felisha sebagai Tari
 * Fakta Menarik:
   * Film ini tayang perdana di bioskop IMAX, menjadikannya film Asia Tenggara pertama yang tayang dalam format tersebut.
   * Lokasi pengambilan gambar dilakukan di rumah susun yang sudah lama kosong, sehingga menambah kesan horor dalam film.
   * Film ini mendapatkan respon yang sangat positif dari para pecinta film horor di indonesia.
 * Tema:
   * Film ini mengeksplorasi tema-tema seperti keluarga, kehilangan, dan perjuangan melawan kekuatan jahat.
   * Joko Anwar dikenal karena kemampuannya dalam menciptakan atmosfer horor yang mencekam dan penuh ketegangan.
 * Informasi tambahan:
   * Film ini dirilis di bioskop pada 4 Agustus 2022.
   * Film ini juga dapat disaksikan di layanan streaming Disney+ Hotstar.",youtube
Film membangongkan gk jelas dan banyak gelapnya.setan ocongnya pun sekali muncul saja.mengecewakan.moga PS 3.lebih seru dari PS 1 DAN 2.TY,youtube
"kapan lagi ni ps3
uda 3th loh",youtube
Agus sedih banget⁵,youtube
0:34 0:35 0:36 0:36 0:36 0:37 0:37 0:37 🎉🎉❤😮😂😅😊,youtube
Pak ustadz nya mati mulu njirr kalah ama setan 😭😭😭,youtube
Gilaa ini kerennn bangetttt dlu udh pernah nontonnn,youtube
1:13,youtube
TAKODT,youtube
takost,youtube
"Gue masih ga rela karakter bapak si bikin meninggal, bapak gitu2 sayang sama anak2.. gus nangis banget ih KENAPA SIH!!😭😭",youtube
"Kenapa sih bapak harus mati
Padahal kan bapak ayah yang baik😢",youtube
Ci vilmei,youtube
"Mengumpulkan niat bertahun2 utk menonton film indonesia dan  trnyata ok lah bagus mix insidious hereditary dn film stephen king.. Pengmbiln gmbr pnchayaan bagus karakter dn kostum jg oke kyk stranger things sy suka set ny jadul2 gini cuma kurang aksi kejar2an yang menggelitik perut wkwk hantunya ga jls kelihatan jd ga deg2an gmb gitu scr cerita sdh rumit dn dalam
Untuk kematian sadis2nya mending ditambah lg krn mnurutku film2 spt hereditary atau stephen king menang di disturbing scene nya
Kalo seram sih kagak seram.. Cuma agak disturbing gt tp msh kurang jg disturbing nya :/

Di PS3 nanti harus lebih byk menceritakan si B dan D dari dunia dan kelompok mana gak trllu greget kalo mereka hanya iblis biasa dan wisnu dn prbyk disturbing scene dibandingkan jumpscare...tdk usah masalah bapak dan ibu yg pengen punya anak mkny pk pesugihan",youtube
bagusss bgt,youtube
B aja,youtube
udah 2 tahun aja oii,youtube
Hdg,youtube
"If you're looking for an English comment, here it is",youtube
Bener kan?,youtube
Ps3 udah rilis di 2006,youtube
@FribadiAfz-bri  haha,youtube
Moga-moga kedepanya bisa krosover sama film qodrat biar ustadz op walau beda studio tapikan masi satu ph,youtube
​ @m.naufalfirdanit6477  jelek ntar film nya,youtube
Rekomendasi film horor luar dong bangg,youtube
I'm looking for review,youtube
same same,youtube
"Un film du déjà vu, tu met une robe blanche sur une dépressive, et ta ton film d'horreur.",youtube
Di tunggu s3 nyaa?,youtube
🥶🔥✨omg,youtube
"Xmxmmxk
X
X",youtube
I kove this movie,youtube
On which website its available?,youtube
Ayo kapan nih pengabdi setan 3 dibikin???kita lgi nunggu rilisnya loh....,youtube
"Yg gw Gak suka film2 indonesia,dialognya berasa banget baca teks",youtube
BRING BACK TARI,youtube
Seru gilaa,youtube
FILM YG MELECEHKAN AGAMA!! SEMOGA ADA YG LAPORIN KE BARESKRIM POLRI,youtube
kerenn bgt nih film takut nontonnya tapi akhirnya nonton jugaa,youtube
gila bagus banget filmnya i love karyanya bang joko anwar,youtube
Kalo ada pengabdi setan 3 mau nonton lagi❤,youtube
Film udah 2 tahun lalu tapi cari yg full sulit amat ..banyak reaction doank...,youtube
Ihh takut nya🗿🗿,youtube
Intro pas semua mayat di sujudin asli serem banget cok,youtube
"Overrated, yang pertama aja nggak seram",youtube
"Sumpah film ini dari awal kita ga dikasih nafas, tegang terus
Keluar dr bioskop, apalagi yg IMAX, beuhh lemes, energi udh terkuras habis pas nonton, mantap deh filmnya",youtube
"PS2 is more better than 1. Flat yg diorg berlakon tu seram weh. Mmg meremang tengok suasana time takde elektrik tu. Ok, cite ni x seram pun, cuma byk jump scares. Part yg Tari tu menyorok dkt tempat buang sampah, sumpah creepy. Dah la sempit ade hantu pulak😩 Lagi 1 part yg laki tu baling kain putih dkt air tu tetiba melayang balik ke dia. Fuhhh meremang weh. Ok next knp la Bront Palare punya scene x byk😅 Sepatutnya buat la dia main character. Dia punya watak mcm tkde function je, hujung³ baru muncul. Ending dia x faham sgt. Sape dua orang laki & pompuan yg menari dlm rumah tu. Hantu ke manusia? Hope ada la PS3 pulak. 7.8/10💥",youtube
she's not depressed... she's pure evil..,youtube
Netflix,youtube
YES SHE SO ATTRACTIVE OMG,youtube
"Buset santai pak ini cuman film, bapak2 aneh😅",youtube
Si mabok agama 😂,youtube
"Wkwk masih belum nonton juga, gw udah ratusan kali nonton di bioskop dan punya video fullnya di galeri😅",youtube
 @earthquakevideoworld1899  bagi link donk bro..,youtube
yang Full di Disney . berlangganan dong jgn mau yg gratis aja 😂,youtube
Di dailymotion aja nntony,youtube
ditunggu Pengabdi Setan 3 ❤❤❤,youtube
Film serem banget 😂,youtube
Film horor paling bagus 😭saking bagusnya mau nonton lagi ga berani 😭,youtube
"Gua dtg ke sini krna barusan udah nonton di televisi, blm habis film nya kira"" udah 40 menitan gua nonton, gua bela""in ke sini mau komen karna Film nya kek anjing gx jelas taik.. no debat gx jelas film nya. sorot nya gx jelas kontrasnya look nya asal asalan gx jelas. nonton ini bukan tegang tp emosi, amatir banget. no debat. itu hak gua komentar.",youtube
Joko Anwar mmngg terdebestt siiihh film² nyaa,youtube
Bang  ceritain  waktu  maghrib  bang,youtube
continental breakfast,youtube
ini film bagus bgt sungguh,youtube
